       DATE:  1/30/2014  
  RUN START:   3692    RUN FINISH:     3715 
REF1 =  1 REF2 = 4   REF3 = 7    
Events 10000
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE42-CERN105   1 230
2  2 2  2  RE42-CERN0103   2 230
3  3 3  3  RE42-CERN083   3 230
4  4 4  4  RE42-CERN082   4 230
5  5 5  5  RE42-CERN081   5 230
7  7 7  7  RE42-CERN017   7 230
RUN  HV TRG  RUN HV TRG  RUN HV TRG
3692  8600 DOUBLE  3700 8600 TOP  3708 8600 BOT
3693  8800 DOUBLE  3701 8800 TOP  3709 8800 BOT
3694  9000 DOUBLE  3702 9000 TOP  3710 9000 BOT
3695  9200 DOUBLE  3703 9200 TOP  3711 9200 BOT
3696  9400 DOUBLE  3704 9400 TOP  3712 9400 BOT
3697  9600 DOUBLE  3705 9600 TOP  3713 9600 BOT
3698  9800 DOUBLE  3706 9800 TOP  3714 9800 BOT
3699  10000 DOUBLE  3707 10000 TOP  3715 10000 BOT
