       DATE:  3/21/2013  
  RUN START:   1321    RUN FINISH:     1341 
REF1 =  1 REF2 = 6  REF3 = 9  
Events 7000            
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE42-CERN012   1 255
2  2 2  2  RE42-CERN016   2 215
3  3 3  3  RE42-CERN013   3 215
4  4 4  4  RE42-CERN017   4 215
5  5 5  5  RE42-CERN014   5 215
6  6 6  6  RE42-CERN015   6 255
7  7 7  7  RE42-CERN004   7 255
8  8 8  8  RE42-CERN011   8 215
9  9 9  9  RE42-CERN010   9 255
RUN  HV TRG  RUN HV TRG  RUN HV TRG
1321  8000 DOUBLE  1328 8000 TOP  1335 8000 BOT
1322  8500 DOUBLE  1329 8500 TOP  1336 8500 BOT
1323  9000 DOUBLE  1330 9000 TOP  1337 9000 BOT
1324  9250 DOUBLE  1331 9250 TOP  1338 9250 BOT
1325  9500 DOUBLE  1332 9500 TOP  1339 9500 BOT
1326  9750 DOUBLE  1333 9750 TOP  1340 9750 BOT
1327  10000 DOUBLE  1334 10000 TOP  1341 10000 BOT
