       DATE:  9/6/2013  
  RUN START:   3091    RUN FINISH:     3114 
REF1 =  1 REF2 = 3   REF3 = 6    
Events 10000
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE42-BARC024   2 230
3  3 3  3  RE42-CERN075   3 230
4  4 4  4  RE42-CERN080   4 230
5  5 5  5  RE42-CERN020   5 230
6  6 6  6  RE42-CERN078   6 230
RUN  HV TRG  RUN HV TRG  RUN HV TRG
3091  8600 DOUBLE  3099 8600 TOP  3107 8600 BOT
3092  8800 DOUBLE  3100 8800 TOP  3108 8800 BOT
3093  9000 DOUBLE  3101 9000 TOP  3109 9000 BOT
3094  9200 DOUBLE  3102 9200 TOP  3110 9200 BOT
3095  9400 DOUBLE  3103 9400 TOP  3111 9400 BOT
3096  9600 DOUBLE  3104 9600 TOP  3112 9600 BOT
3097  9800 DOUBLE  3105 9800 TOP  3113 9800 BOT
3098  10000 DOUBLE  3106 10000 TOP  3114 10000 BOT
