       DATE:  7/26/2013  
  RUN START:   2539    RUN FINISH:     2562 
REF1 =  3 REF2 = 6   REF3 = 9    
Events 15000            
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE42-CERN051   1 230
2  2 2  2  RE42-CERN061   2 230
3  3 3  3  RE42-CERN063   3 230
4  4 4  4  RE42-CERN062   4 230
5  5 5  5  RE43-CERN057   5 230
6  6 6  6  RE43-CERN053   6 230
7  7 7  7  RE43-CERN059   7 230
8  8 8  8  RE43-CERN060   8 230
9  9 9  9  RE43-CERN020   9 230
RUN  HV TRG  RUN HV TRG  RUN HV TRG
2539  8600 DOUBLE  2547 8600 TOP  2555 8600 BOT
2540  8800 DOUBLE  2548 8800 TOP  2556 8800 BOT
2541  9000 DOUBLE  2549 9000 TOP  2557 9000 BOT
2542  9200 DOUBLE  2550 9200 TOP  2558 9200 BOT
2543  9400 DOUBLE  2551 9400 TOP  2559 9400 BOT
2544  9600 DOUBLE  2552 9600 TOP  2560 9600 BOT
2545  9800 DOUBLE  2553 9800 TOP  2561 9800 BOT
2546  10000 DOUBLE  2554 10000 TOP  2562 10000 BOT
