       DATE:  6/8/2013  
  RUN START:   2070    RUN FINISH:     2093 
REF1 =  1 REF2 = 2   REF3 = 5    
Events 10000
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE43-CERN025   1 240
2  2 2  2  RE43-CERN040   2 230
4  4 4  4  RE43-CERN043   3 230
5  5 5  5  RE43-CERN042   4 230
7  7 7  7  RE43-CERN041   5 230
8  8 8  8  RE43-CERN004   6 240
RUN  HV TRG  RUN HV TRG  RUN HV TRG
2070  8600 DOUBLE  2078 8600 TOP  2086 8600 BOT
2071  8800 DOUBLE  2079 8800 TOP  2087 8800 BOT
2072  9000 DOUBLE  2080 9000 TOP  2088 9000 BOT
2073  9200 DOUBLE  2081 9200 TOP  2089 9200 BOT
2074  9400 DOUBLE  2082 9400 TOP  2090 9400 BOT
2075  9600 DOUBLE  2083 9600 TOP  2091 9600 BOT
2076  9800 DOUBLE  2084 9800 TOP  2092 9800 BOT
2077  10000 DOUBLE  2085 10000 TOP  2093 10000 BOT
