       DATE:  3/29/2013  
  RUN START:   1379    RUN FINISH:     1399 
REF1 =  1 REF2 = 6  REF3 = 9  
Events 10000            
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE42-CERN012   1 255
2  2 2  2  RE42-CERN013   2 215
3  3 3  3  RE42-CERN018   3 215
4  4 4  4  RE42-CERN020   4 215
5  5 5  5  RE42-CERN015   5 215
6  6 6  6  RE42-CERN014   6 255
7  7 7  7  RE43-CERN011   7 255
8  8 8  8  RE43-CERN004   8 215
9  9 9  9  RE43-CERN010   9 255
RUN  HV TRG  RUN HV TRG  RUN HV TRG
1379  8000 DOUBLE  1386 8000 TOP  1393 8000 BOT
1380  8500 DOUBLE  1387 8500 TOP  1394 8500 BOT
1381  9000 DOUBLE  1388 9000 TOP  1395 9000 BOT
1382  9250 DOUBLE  1389 9250 TOP  1396 9250 BOT
1383  9500 DOUBLE  1390 9500 TOP  1397 9500 BOT
1384  9750 DOUBLE  1391 9750 TOP  1398 9750 BOT
1385  10000 DOUBLE  1392 10000 TOP  1399 10000 BOT
