       DATE:  4/25/2013  
  RUN START:   1740    RUN FINISH:     1760 
REF1 =  1 REF2 = 5   REF3 = 8    
Events 10000
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE42-CERN025   1 240
5  5 5  5  RE42-CERN029   5 240
6  6 6  6  RE42-CERN027   6 230
7  7 7  7  RE43-CERN028   7 230
8  8 8  8  RE43-CERN004   8 240
RUN  HV TRG  RUN HV TRG  RUN HV TRG
1740  8000 DOUBLE  1747 8000 TOP  1754 8000 BOT
1741  8500 DOUBLE  1748 8500 TOP  1755 8500 BOT
1742  9000 DOUBLE  1749 9000 TOP  1756 9000 BOT
1743  9250 DOUBLE  1750 9250 TOP  1757 9250 BOT
1744  9500 DOUBLE  1751 9500 TOP  1758 9500 BOT
1745  9750 DOUBLE  1752 9750 TOP  1759 9750 BOT
1746  10000 DOUBLE  1753 10000 TOP  1760 10000 BOT
