       DATE:  5/26/2013  
  RUN START:   1903    RUN FINISH:     1926 
REF1 =  1 REF2 = 4   REF3 = 8    
Events 10000            
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE43-CERN025   3 240
2  2 2  2  RE43-CERN033   4 230
4  4 4  4  RE43-CERN029   5 240
5  5 5  5  RE43-CERN034   8 230
7  7 7  7  RE43-CERN035   9 230
8  8 8  8  RE43-CERN004   10 240
RUN  HV TRG  RUN HV TRG  RUN HV TRG
1903  8600 DOUBLE  1911 8000 TOP  1919 8000 BOT
1904  8800 DOUBLE  1912 8500 TOP  1920 8500 BOT
1905  9000 DOUBLE  1913 9000 TOP  1921 9000 BOT
1906  9200 DOUBLE  1914 9250 TOP  1922 9250 BOT
1907  9400 DOUBLE  1915 9500 TOP  1923 9500 BOT
1908  9600 DOUBLE  1916 9750 TOP  1924 9750 BOT
1909  9800 DOUBLE  1917 10000 TOP  1925 10000 BOT
1910  10000 DOUBLE  1918 10000 TOP  1926 10000 BOT
