       DATE:  6/4/2013  
  RUN START:   2012    RUN FINISH:     2035    
REF1 =  1 REF2 = 5   REF3 = 6    
Events 10000
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE43-CERN025   2 240
2  2 2  2  RE43-CERN037   6 230
5  5 5  5  RE43-CERN038   4 240
6  6 6  6  RE43-CERN036   8 230
7  7 7  7  RE43-CERN039   3 230
8  8 8  8  RE43-CERN004   6 240
RUN  HV TRG  RUN HV TRG  RUN HV TRG
2012  8600 DOUBLE  2020 8600 TOP  2028 8600 BOT
2013  8800 DOUBLE  2021 8800 TOP  2029 8800 BOT
2014  9000 DOUBLE  2022 9000 TOP  2030 9000 BOT
2015  9200 DOUBLE  2023 9200 TOP  2031 9200 BOT
2016  9400 DOUBLE  2024 9400 TOP  2032 9400 BOT
2017  9600 DOUBLE  2025 9600 TOP  2033 9600 BOT
2018  9800 DOUBLE  2026 9800 TOP  2034 9800 BOT
2019  10000 DOUBLE  2027 10000 TOP  2035 10000 BOT
