       DATE:  3/7/2014  
  RUN START:   4109    RUN FINISH:     4132
REF1 =  1 REF2 = 4   REF3 = 7    
Events 30000
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE42-CERN105   1 230
2  2 2  2  RE42-CERN128   2 230
3  3 3  3  RE42-CERN130   3 230
4  4 4  4  RE42-BARC102   4 230
5  5 5  5  RE42-CERN129   5 230
7  7 7  7  RE42-CERN017   7 230
RUN  HV TRG  RUN HV TRG  RUN HV TRG
4109  8600 DOUBLE  4117 8600 TOP  4125 8600 BOT
4110  8800 DOUBLE  4118 8800 TOP  4126 8800 BOT
4111  9000 DOUBLE  4119 9000 TOP  4127 9000 BOT
4112  9200 DOUBLE  4120 9200 TOP  4128 9200 BOT
4113  9400 DOUBLE  4121 9400 TOP  4129 9400 BOT
4114  9600 DOUBLE  4122 9600 TOP  4130 9600 BOT
4115  9800 DOUBLE  4123 9800 TOP  4131 9800 BOT
4116  10000 DOUBLE  4124 10000 TOP  4132 10000 BOT
